ds,yhat,yhat_lower,yhat_upper
2020-01-01,6906.810534151891,2602.0113242458347,11186.279601116597
2020-01-02,6889.3290345854475,2343.501894599349,10602.274532865047
2020-01-03,6992.267650633722,2652.9967447703757,11334.685894077562
2020-01-04,7070.653052604596,2814.7507106305634,11312.168869516245
2020-01-05,7120.786366862218,2971.4833303329724,11403.397926883634
2020-01-06,7149.617081829761,2628.0835478785098,11476.19491723868
2020-01-07,7162.24804542137,2814.8655021196387,11127.807853464226
2020-01-08,7229.074571361706,2729.8824024117766,11706.378834830473
2020-01-09,7057.321950105265,2503.891439286753,11084.638007739015
2020-01-10,6999.3391305932955,2909.2877983311905,11211.31098252249
2020-01-11,6914.296772492895,2598.5672823282143,11315.86390781662
2020-01-12,6802.804507780937,2370.1967561389956,11018.216665937247
2020-01-13,6676.175016232004,2328.8187178236403,10974.882754739961
2020-01-14,6543.815682781444,2471.1005854846717,11055.466726270428
2020-01-15,6480.253872743305,2077.5750184112494,10538.751616382973
2020-01-16,6196.563193459965,1838.8052846539888,10279.279594458852
2020-01-17,6048.551551468482,2001.849518791563,10595.589294498577
2020-01-18,5898.362133388309,1588.3190016410178,10498.415933299573
2020-01-19,5749.004881630984,1477.6324128619626,10238.004653119706
2020-01-20,5613.548528223775,1113.5554307243012,10134.823083857334
2020-01-21,5502.456069459386,1258.3071603968656,9669.02808542514
2020-01-22,5490.571426725248,1052.9231032013727,9580.937623779786
2020-01-23,5288.525915174288,1259.2890747290178,9506.279224703712
2020-01-24,5250.926087545233,1009.5252568743846,9699.413249161962
2020-01-25,5237.974319345285,987.8121163255652,9535.44643966355
2020-01-26,5250.039413143076,609.9567290770032,9713.546794422338
2020-01-27,5296.9064638487,1107.747761416615,9799.732492763282
2020-01-28,5385.187536163121,1088.581418007673,9235.61570967091
2020-01-29,5585.399089859996,1354.233980752254,9774.275014977946
2020-01-30,5603.472532103301,1144.0010923571522,10042.455217283694
2020-01-31,5789.056846401858,1785.4371378377693,10359.550616329627
2020-02-01,5997.261739563486,1753.0473629745268,10150.571530405523
2020-02-02,6223.355429422461,1834.9939236908833,10681.615499561902
2020-02-03,6472.143013801146,2217.5913971005816,10559.526922659821
2020-02-04,6745.503612240591,2444.3188050336335,11159.976766395148
2020-02-05,7109.588888474467,2721.0490270450555,11407.617617629232
