Date,Close,High,Low,Open,Volume
,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
01-01-2020,7200.174316,7254.330566,7174.944336,7194.89209,18565664997
02-01-2020,6985.470215,7212.155273,6935.27002,7202.55127,20802083465
03-01-2020,7344.884277,7413.715332,6914.996094,6984.428711,28111481032
04-01-2020,7410.656738,7427.385742,7309.51416,7345.375488,18444271275
05-01-2020,7411.317383,7544.49707,7400.535645,7410.45166,19725074095
06-01-2020,7769.219238,7781.867188,7409.292969,7410.452148,23276261598
07-01-2020,8163.692383,8178.21582,7768.227539,7768.682129,28767291327
08-01-2020,8079.862793,8396.738281,7956.774414,8161.935547,31672559265
09-01-2020,7879.071289,8082.295898,7842.403809,8082.295898,24045990466
10-01-2020,8166.554199,8166.554199,7726.774902,7878.307617,28714583844
11-01-2020,8037.537598,8218.359375,8029.64209,8162.190918,25521165085
12-01-2020,8192.494141,8200.063477,8009.059082,8033.261719,22903438381
13-01-2020,8144.194336,8197.788086,8079.700684,8189.771973,22482910688
14-01-2020,8827.764648,8879.511719,8140.933105,8140.933105,44841784107
15-01-2020,8807.010742,8890.117188,8657.1875,8825.34375,40102834650
16-01-2020,8723.786133,8846.460938,8612.095703,8812.481445,31313981931
17-01-2020,8929.038086,8958.12207,8677.316406,8725.209961,36372139320
18-01-2020,8942.808594,9012.198242,8827.332031,8927.211914,32337772627
19-01-2020,8706.245117,9164.362305,8620.080078,8941.445313,34217320471
20-01-2020,8657.642578,8745.59082,8560.473633,8704.631836,26422375678
21-01-2020,8745.894531,8755.706055,8544.520508,8658.991211,24097418512
22-01-2020,8680.875977,8792.994141,8636.74707,8744.210938,22600204051
23-01-2020,8406.515625,8687.74707,8333.637695,8680.650391,25770680779
24-01-2020,8445.43457,8514.666992,8266.84082,8405.567383,24397913026
25-01-2020,8367.847656,8458.453125,8296.21875,8440.119141,19647331549
26-01-2020,8596.830078,8602.401367,8325.498047,8364.410156,22177678796
27-01-2020,8909.819336,8977.726563,8597.308594,8597.308594,28647338393
28-01-2020,9358.589844,9358.589844,8908.447266,8912.524414,34398744403
29-01-2020,9316.629883,9406.431641,9269.467773,9357.470703,30682598115
30-01-2020,9508.993164,9553.125977,9230.897461,9316.016602,32378792851
31-01-2020,9350.529297,9521.706055,9230.776367,9508.313477,29432489719
01-02-2020,9392.875,9439.323242,9313.239258,9346.357422,25922656496
02-02-2020,9344.365234,9468.797852,9217.824219,9389.820313,30835736946
03-02-2020,9293.521484,9540.37207,9248.633789,9344.683594,30934096509
04-02-2020,9180.962891,9331.265625,9112.811523,9292.841797,29893183716
05-02-2020,9613.423828,9701.299805,9163.704102,9183.416016,35222060874
06-02-2020,9729.801758,9824.619141,9539.818359,9617.821289,37628823716
07-02-2020,9795.943359,9834.716797,9726.00293,9726.00293,34522718159
08-02-2020,9865.119141,9876.749023,9678.910156,9793.070313,35172043762
09-02-2020,10116.67383,10129.43555,9850.392578,9863.894531,35807884663
10-02-2020,9856.611328,10165.76563,9784.563477,10115.55957,39386548075
11-02-2020,10208.23633,10210.05273,9729.334961,9855.891602,37648059389
12-02-2020,10326.05469,10393.61133,10202.3877,10202.3877,43444303830
13-02-2020,10214.37988,10457.62695,10116.16113,10323.96094,49356071373
14-02-2020,10312.11621,10321.99609,10125.53418,10211.55078,43338264162
15-02-2020,9889.424805,10341.55566,9874.427734,10313.85645,43865054831
16-02-2020,9934.433594,10053.96875,9722.386719,9889.179688,43374780305
17-02-2020,9690.142578,9938.81543,9507.637695,9936.560547,45998298413
18-02-2020,10141.99609,10161.93555,9632.382813,9691.230469,47271023953
19-02-2020,9633.386719,10191.67578,9611.223633,10143.79883,46992019710
20-02-2020,9608.475586,9643.216797,9507.900391,9629.325195,44925260237
21-02-2020,9686.441406,9723.014648,9589.743164,9611.782227,40930547513
22-02-2020,9663.181641,9698.231445,9600.728516,9687.707031,35838025154
23-02-2020,9924.515625,9937.404297,9657.791016,9663.318359,41185185761
24-02-2020,9650.174805,9951.746094,9537.042969,9921.583008,45080496648
25-02-2020,9341.705078,9652.737305,9305.021484,9651.3125,42515259129
26-02-2020,8820.522461,9354.77832,8704.426758,9338.290039,50420050762
27-02-2020,8784.494141,8932.892578,8577.199219,8825.09375,45470195695
28-02-2020,8672.455078,8890.456055,8492.932617,8788.728516,44605450443
29-02-2020,8599.508789,8775.631836,8599.508789,8671.212891,35792392544
01-03-2020,8562.454102,8726.796875,8471.212891,8599.758789,35349164300
02-03-2020,8869.669922,8921.308594,8532.630859,8563.264648,42857674409
03-03-2020,8787.786133,8901.598633,8704.990234,8865.387695,42386715821
04-03-2020,8755.246094,8843.366211,8712.431641,8788.541992,34746706368
05-03-2020,9078.762695,9142.054688,8757.253906,8760.285156,39698054597
06-03-2020,9122.545898,9167.695313,9032.079102,9078.308594,40826885651
07-03-2020,8909.954102,9163.220703,8890.744141,9121.600586,36216930370
08-03-2020,8108.116211,8914.34375,8105.25293,8908.206055,39973102121
09-03-2020,7923.644531,8177.793457,7690.098145,8111.146484,46936995808
10-03-2020,7909.729492,8136.945313,7814.763184,7922.146973,42213940994
11-03-2020,7911.430176,7950.814453,7642.8125,7910.089844,38682762605
12-03-2020,4970.788086,7929.116211,4860.354004,7913.616211,53980357243
13-03-2020,5563.707031,5838.114746,4106.980957,5017.831055,74156772075
14-03-2020,5200.366211,5625.226563,5125.069336,5573.077637,36154506008
15-03-2020,5392.314941,5836.64502,5169.283203,5201.066895,33997889639
16-03-2020,5014.47998,5385.229492,4575.35791,5385.229492,45368026430
17-03-2020,5225.629395,5371.348633,4981.90918,5002.578125,38622642935
18-03-2020,5238.438477,5331.833984,5069.335938,5227.11377,37878801016
19-03-2020,6191.192871,6329.73584,5236.96875,5245.416504,51000731797
20-03-2020,6198.77832,6844.261719,5865.781738,6191.653809,54442976103
21-03-2020,6185.066406,6378.135254,5932.823242,6206.521484,42494390880
22-03-2020,5830.254883,6359.697266,5823.713867,6185.558105,40099664740
23-03-2020,6416.314941,6443.93457,5785.004395,5831.374512,46491916000
24-03-2020,6734.803711,6789.022949,6411.066406,6436.642578,48221910672
25-03-2020,6681.062988,6892.51123,6536.92627,6738.716797,44590107888
26-03-2020,6716.44043,6735.463867,6590.962891,6675.170898,35319797642
27-03-2020,6469.79834,6793.836426,6466.70166,6719.38916,34585598367
28-03-2020,6242.193848,6467.500977,6117.837891,6467.253906,34885225901
29-03-2020,5922.042969,6250.467285,5920.085938,6245.624512,28373690931
30-03-2020,6429.841797,6517.195801,5903.234375,5925.538574,37101651525
31-03-2020,6438.644531,6504.515137,6374.162109,6430.606445,32786468812
01-04-2020,6606.776367,6612.57373,6202.373535,6437.319336,40346426266
02-04-2020,6793.624512,7088.247559,6595.918457,6606.776367,47660646124
03-04-2020,6733.387207,7003.220703,6673.335938,6797.396484,38976504903
04-04-2020,6867.527344,6878.953613,6696.484863,6738.382813,33185988584
05-04-2020,6791.129395,6883.414063,6715.929199,6862.537598,29510409856
06-04-2020,7271.78125,7271.78125,6782.889648,6788.049805,46896904615
07-04-2020,7176.414551,7427.939453,7136.714355,7273.644043,44243482668
08-04-2020,7334.098633,7356.223633,7153.305664,7179.283203,37563249549
09-04-2020,7302.089355,7341.448242,7179.094238,7337.966309,34815139178
10-04-2020,6865.493164,7303.81543,6802.475098,7303.81543,43622840992
11-04-2020,6859.083008,6926.069824,6789.920898,6867.44043,31222085946
12-04-2020,6971.091797,7119.947266,6811.078125,6858.067871,35759567632
13-04-2020,6845.037598,6965.616699,6668.259766,6965.616699,38619308647
14-04-2020,6842.427734,6958.557129,6793.821289,6843.281738,34110434052
15-04-2020,6642.109863,6928.664551,6633.402832,6845.561523,32288311031
16-04-2020,7116.804199,7134.450684,6555.504395,6640.454102,46783242377
17-04-2020,7096.18457,7167.183105,7050.332031,7116.552734,32513423567
18-04-2020,7257.665039,7269.956543,7089.24707,7092.291504,32447188386
19-04-2020,7189.424805,7280.521973,7167.054688,7260.922363,31311210215
20-04-2020,6881.958496,7240.290527,6835.50293,7186.873535,37747113936
21-04-2020,6880.323242,6934.551758,6834.442383,6879.78418,32589741511
22-04-2020,7117.20752,7145.865723,6867.781738,6879.44043,33249153866
23-04-2020,7429.724609,7491.785156,7081.594727,7121.306152,43500782316
24-04-2020,7550.900879,7574.195801,7434.181641,7434.181641,34636526286
25-04-2020,7569.936035,7641.36377,7521.672363,7550.48291,32941541447
26-04-2020,7679.867188,7700.594238,7561.407715,7570.13916,33070154491
27-04-2020,7795.601074,7795.601074,7679.418945,7679.418945,36162144725
28-04-2020,7807.058594,7814.527344,7730.806641,7796.970215,33187959921
29-04-2020,8801.038086,8871.753906,7786.049316,7806.712402,60201052203
30-04-2020,8658.553711,9440.650391,8533.255859,8797.669922,66964629541
01-05-2020,8864.766602,9048.023438,8667.763672,8672.782227,44068389997
02-05-2020,8988.59668,9007.1875,8811.366211,8869.057617,40134388683
03-05-2020,8897.46875,9167.78125,8830.97168,8983.614258,47101785174
04-05-2020,8912.654297,8956.90625,8645.024414,8895.745117,45718796276
